temperature_logs.experiment_id,temperature_logs.elapsed_time,lid_temp,heat_block_zone_1_temp,heat_block_zone_2_temp
56,1035032,110.0,59.86,59.87
56,1036032,110.0,59.87,59.87
56,1037032,110.0,59.86,59.87
56,1038032,110.0,59.86,59.87
56,1039033,110.0,59.86,59.88
56,1040032,110.0,59.87,59.87
56,1041032,110.0,59.86,59.87
56,1042032,109.99,59.86,59.87
56,1043032,110.0,59.86,59.87
56,1044032,109.96,59.86,59.88
56,1045032,109.99,59.87,59.88
56,1046032,109.99,59.87,59.88
56,1047032,110.0,59.87,59.88
56,1048032,109.91,59.87,59.88
56,1049033,110.0,59.87,59.88
56,1050033,110.0,59.88,59.89
56,1051032,110.0,59.88,59.89
56,1052032,110.0,59.88,59.89
56,1053033,109.95,59.88,59.89
56,1054032,109.99,59.89,59.9
56,1055032,109.99,59.9,59.9
56,1056032,109.99,59.89,59.9
56,1057032,109.99,59.9,59.9
56,1058032,109.99,59.89,59.9
56,1059032,110.0,59.89,59.9
56,1060032,109.99,59.9,59.91
56,1061032,110.0,59.9,59.91
56,1062032,110.0,59.9,59.91
56,1063032,109.99,59.9,59.92
56,1064032,109.99,59.92,59.91
56,1065032,109.99,59.91,59.92
56,1066032,109.99,59.91,59.92
56,1067033,109.99,59.91,59.92
56,1068032,109.99,59.92,59.92
56,1069032,109.99,59.92,59.93
56,1070032,109.99,59.92,59.92
56,1071032,109.99,59.92,59.93
56,1072032,109.99,59.92,59.93
56,1073032,109.99,59.92,59.93
56,1074032,109.99,59.92,59.93
56,1075032,109.99,59.92,59.93
56,1076032,109.99,59.94,59.94
56,1077033,109.99,59.93,59.93
56,1078032,109.99,59.93,59.94
56,1079032,109.99,59.93,59.94
56,1080032,109.99,59.94,59.94
56,1081032,109.99,59.93,59.94
56,1082035,109.99,59.94,59.94
56,1083032,109.99,59.93,59.94
56,1084032,109.96,59.94,59.94
56,1085032,109.99,59.94,59.95
56,1086032,109.99,60.8,60.67
56,1087033,109.98,66.57,66.65
56,1088032,109.98,72.06,71.98
56,1089032,109.98,77.71,77.72
56,1090032,109.97,83.28,83.26
56,1091032,109.98,88.9,88.89
56,1092032,109.98,94.2,94.25
56,1093034,109.98,94.65,94.69
56,1094032,109.98,94.82,94.87
56,1095032,109.99,94.84,94.83
56,1096033,109.99,94.87,94.9
56,1097032,109.99,94.89,94.9
56,1098032,109.99,94.91,94.92
56,1099032,109.99,94.92,94.94
56,1100032,109.99,94.94,94.95
56,1101032,109.99,94.95,94.96
56,1102032,109.99,94.96,94.97
56,1103032,109.97,94.97,94.97
56,1104032,109.99,94.97,94.98
56,1105032,109.99,94.98,94.99
56,1106032,109.99,94.98,94.99
56,1107033,110.0,94.98,94.99
56,1108032,109.93,93.18,93.45
56,1109032,109.99,87.98,88.14
56,1110032,109.99,82.71,82.82
56,1111032,109.99,77.4,77.49
56,1112032,109.98,71.96,72.12
56,1113032,109.98,66.6,66.69
56,1114032,109.98,61.9,61.97
56,1115032,109.98,60.32,60.32
56,1116032,109.99,59.96,59.97
56,1117032,110.0,59.93,59.94
56,1118032,110.0,59.91,59.92
56,1119032,110.0,59.89,59.9
56,1120032,110.0,59.89,59.9
56,1121032,110.0,59.87,59.89
56,1122032,109.99,59.87,59.88
56,1123032,109.99,59.87,59.88
56,1124032,109.99,59.87,59.88
56,1125032,109.99,59.87,59.88
56,1126032,109.96,59.86,59.87
56,1127032,109.99,59.87,59.87
56,1128032,109.99,59.86,59.88
56,1129032,110.0,59.87,59.88
56,1130033,110.07,59.86,59.88
56,1131033,109.99,59.87,59.88
56,1132038,109.99,59.87,59.88
56,1133032,109.99,59.87,59.88
56,1134032,109.99,59.87,59.88
56,1135034,109.99,59.88,59.89
56,1136032,109.99,59.88,59.89
56,1137032,109.99,59.88,59.89
56,1138032,109.99,59.88,59.89
56,1139033,109.99,59.88,59.89
56,1140032,109.99,59.89,59.89
56,1141032,109.99,59.89,59.9
56,1142032,109.99,59.9,59.9
56,1143033,109.99,59.89,59.9
56,1144032,109.99,59.89,59.9
56,1145032,109.99,59.9,59.91
56,1146032,109.99,59.9,59.91
56,1147032,109.99,59.9,59.91
56,1148032,109.99,59.91,59.91
56,1149032,109.99,59.9,59.91
56,1150033,109.92,59.91,59.91
56,1151032,110.0,59.91,59.91
56,1152032,109.99,59.91,59.92
56,1153032,109.99,59.91,59.92
56,1154032,109.99,59.91,59.92
56,1155032,109.99,59.92,59.92
56,1156032,109.99,59.92,59.93
56,1157033,109.99,59.92,59.92
56,1158032,109.99,59.92,59.93
56,1159032,109.98,59.93,59.93
56,1160032,109.99,59.93,59.93
56,1161032,110.0,59.94,59.93
56,1162032,109.99,59.93,59.94
56,1163033,109.99,59.93,59.94
56,1164033,109.99,59.93,59.94
56,1165032,109.97,59.93,59.94
56,1166032,109.99,59.93,59.94
56,1167032,109.96,59.94,59.94
56,1168032,109.99,59.95,59.94
56,1169032,109.99,59.94,59.94
56,1170032,109.97,59.94,59.94
56,1171032,109.99,59.94,59.95
56,1172032,109.93,59.94,59.95
56,1173033,109.99,59.94,59.95
56,1174032,109.99,59.96,59.95
56,1175032,109.99,59.94,59.95
56,1176032,109.99,63.9,63.79
56,1177032,109.99,69.41,69.38
56,1178033,109.98,75.07,75.06
56,1179032,109.98,80.63,80.61
56,1180032,109.98,86.2,86.18
56,1181032,109.98,91.82,91.8
56,1182032,109.99,94.89,95.12
56,1183032,109.98,94.75,94.66
56,1184032,109.99,94.82,94.87
56,1185032,109.99,94.87,94.87
56,1186032,109.99,94.89,94.89
56,1187032,110.14,94.91,94.92
56,1188033,109.99,94.92,94.93
56,1189032,109.99,94.93,94.94
56,1190032,109.99,94.95,94.96
56,1191033,110.0,94.96,94.97
56,1192032,109.98,94.97,94.97
56,1193032,110.0,94.98,94.98
56,1194032,110.01,94.98,94.99
56,1195032,110.0,94.98,94.99
56,1196032,109.99,94.99,94.99
56,1197032,109.99,94.88,94.93
56,1198032,109.95,90.48,90.72
56,1199032,109.99,85.31,85.43
56,1200032,109.99,79.96,80.06
56,1201032,109.98,74.62,74.71
56,1202032,109.98,69.25,69.33
56,1203032,109.99,63.9,64.03
56,1204032,109.99,60.78,60.77
56,1205032,110.0,60.06,60.07
56,1206032,110.0,59.95,59.96
56,1207032,110.01,59.91,59.92
56,1208032,110.01,59.89,59.91
56,1209032,110.01,59.89,59.91
56,1210032,110.0,59.88,59.89
56,1211032,110.0,59.87,59.89
56,1212032,110.0,59.87,59.88
56,1213032,110.0,59.86,59.88
56,1214032,110.0,59.86,59.88
56,1215032,110.0,59.87,59.88
56,1216033,110.0,59.86,59.88
56,1217032,109.99,59.86,59.88
56,1218032,109.98,59.86,59.88
56,1219032,110.0,59.86,59.88
56,1220032,110.0,59.86,59.88
56,1221032,110.01,59.87,59.88
56,1222032,110.01,59.87,59.88
56,1223032,110.0,59.87,59.88
56,1224032,110.0,59.88,59.88
56,1225032,109.95,59.87,59.88
56,1226032,110.0,59.88,59.89
56,1227032,110.0,59.88,59.89
56,1228032,110.0,59.88,59.89
56,1229032,109.98,59.88,59.89
56,1230032,110.0,59.89,59.89
56,1231032,110.0,59.9,59.9
56,1232032,109.99,59.89,59.9
56,1233032,110.0,59.89,59.9
56,1234032,109.99,59.9,59.9
56,1235033,110.0,59.9,59.91
56,1236032,110.0,59.9,59.91
56,1237032,110.0,59.91,59.91
56,1238032,110.0,59.9,59.91
56,1239033,109.99,59.9,59.91
56,1240032,109.99,59.91,59.92
56,1241032,109.99,59.91,59.92
56,1242033,109.99,59.92,59.92
56,1243032,110.0,59.91,59.93
56,1244032,110.0,59.92,59.92
56,1245032,110.0,59.92,59.92
56,1246033,110.0,59.92,59.93
56,1247032,109.99,59.92,59.93
56,1248032,109.99,59.92,59.93
56,1249032,110.0,59.92,59.93
56,1250032,109.99,59.93,59.93
56,1251032,110.0,59.93,59.93
56,1252033,110.0,59.93,59.94
56,1253032,110.0,59.93,59.94
56,1254032,109.91,59.93,59.94
56,1255033,110.0,59.94,59.94
56,1256032,109.98,59.94,59.94
56,1257032,110.0,59.94,59.94
56,1258032,110.0,59.94,59.94
56,1259033,110.0,59.94,59.95
56,1260032,110.0,59.94,59.95
56,1261032,110.0,59.94,59.95
56,1262033,109.98,59.94,59.95
56,1263032,110.0,59.95,59.95
56,1264032,110.0,59.94,59.95
56,1265032,110.0,61.18,61.02
56,1266032,109.99,67.0,67.07
56,1267032,109.98,72.6,72.52
56,1268032,109.98,78.18,78.19
56,1269033,109.98,83.76,83.74
